trou,par,score_moyen,strokegain
1,4,4.2500,0.2500
2,4,4.7500,0.7500
3,5,5.7500,0.7500
4,3,3.0000,0.0000
5,4,3.7500,-0.2500
6,5,4.5000,-0.5000
7,3,3.0000,0.0000
8,5,5.2500,0.2500
9,4,5.2500,1.2500
10,3,3.2500,0.2500
11,4,4.5000,0.5000
12,4,4.0000,0.0000
13,4,5.0000,1.0000
14,3,3.2500,0.2500
15,4,4.2500,0.2500
16,4,4.0000,0.0000
17,4,3.7500,-0.2500
18,4,4.0000,0.0000
TOTAL,71,75.5000,4.5000
