trou,par,score_moyen_champ,difference
1,4,4.6,0.6
2,5,5.27,0.27
3,3,3.1,0.1
4,4,4.78,0.78
5,5,5.37,0.37
6,3,3.23,0.23
7,4,3.86,-0.14
8,4,4.22,0.22
9,4,4.68,0.68
10,4,4.1,0.1
11,3,3.11,0.11
12,4,4.21,0.21
13,5,5.11,0.11
14,4,3.99,-0.01
15,5,5,0
16,3,3.27,0.27
17,4,4.38,0.38
18,4,4.14,0.14
