trou,par,score_moyen_champ,difference
1,4,4.9,0.9
2,4,4.44,0.44
3,3,3.24,0.24
4,4,4.24,0.24
5,5,4.83,-0.17
6,5,5.48,0.48
7,4,4.48,0.48
8,3,3.32,0.32
9,4,4.52,0.52
10,4,4.39,0.39
11,3,3.21,0.21
12,5,5.03,0.03
13,3,3.14,0.14
14,5,5.74,0.74
15,4,4.32,0.32
16,4,4.47,0.47
17,5,4.93,-0.07
18,3,3.38,0.38
