trou,par,score_moyen_champ,difference
1,4,5,-0.2143
2,4,5,-0.1607
3,3,3,0.6429
4,4,5,-0.1429
5,5,5,0.0357
6,3,3,0.4464
7,3,3,0.3571
8,5,5,0.4464
9,3,4,-0.3036
10,3,3,0.2857
11,4,4,0.3929
12,3,3,0.5357
13,4,4,0.2321
14,4,4,0.5357
15,5,5,0.5357
16,5,5,0.4107
17,4,4,0.2857
18,4,4,0.1786
